dataset,pattern,w1,w2,w3,accuracy,train_time_s,num_params
mnist,expanding,64,128,256,0.9653,62.163140535354614,94154
mnist,expanding,64,128,512,0.9649,61.376668214797974,129738
mnist,expanding,64,128,1024,0.9726,64.09317803382874,200906
mnist,expanding,64,256,512,0.9698,64.81474900245667,203594
mnist,expanding,64,256,1024,0.9701,67.92163300514221,340298
mnist,expanding,64,512,1024,0.9746,73.83680176734924,619082
mnist,expanding,128,256,512,0.9771,67.24865889549255,270218
mnist,expanding,128,256,1024,0.9711,70.11384773254395,406922
mnist,expanding,128,512,1024,0.9731,73.55351376533508,702090
mnist,expanding,256,512,1024,0.9791,75.19644570350647,868106
mnist,contracting,256,128,64,0.9695,62.95430850982666,242762
mnist,contracting,512,128,64,0.9773,66.30699229240417,476490
mnist,contracting,512,256,64,0.9766,68.92036581039429,550346
mnist,contracting,512,256,128,0.9767,67.99860668182373,567434
mnist,contracting,1024,128,64,0.9786,72.3712465763092,943946
mnist,contracting,1024,256,64,0.9766,75.32016801834106,1083338
mnist,contracting,1024,256,128,0.9733,81.58424067497253,1100426
mnist,contracting,1024,512,64,0.9774,82.10826563835144,1362122
mnist,contracting,1024,512,128,0.9778,76.099374294281,1395594
mnist,contracting,1024,512,256,0.9793,75.07015681266785,1462538
mnist,constant,64,64,64,0.9599,59.95214653015137,59210
mnist,constant,128,128,128,0.9686,65.558109998703,134794
mnist,constant,256,256,256,0.9736,73.10309910774231,335114
mnist,constant,512,512,512,0.978,84.14401268959045,932362
mnist,constant,1024,1024,1024,0.9762,83.20554685592651,2913290
cifar10,expanding,64,128,256,0.5017,63.12302923202515,240586
cifar10,expanding,64,128,512,0.5137,65.02018332481384,276170
cifar10,expanding,64,128,1024,0.5135,65.42579007148743,347338
cifar10,expanding,64,256,512,0.5103,63.31366968154907,350026
cifar10,expanding,64,256,1024,0.5138,66.79294037818909,486730
cifar10,expanding,64,512,1024,0.5166,71.64797329902649,765514
cifar10,expanding,128,256,512,0.5288,66.2319700717926,563082
cifar10,expanding,128,256,1024,0.5262,68.66259598731995,699786
cifar10,expanding,128,512,1024,0.5324,72.82893252372742,994954
cifar10,expanding,256,512,1024,0.5342,80.06601810455322,1453834
cifar10,contracting,256,128,64,0.525,69.37961649894714,828490
cifar10,contracting,512,128,64,0.5227,75.69982361793518,1647946
cifar10,contracting,512,256,64,0.5379,76.25932478904724,1721802
cifar10,contracting,512,256,128,0.5294,76.50814747810364,1738890
cifar10,contracting,1024,128,64,0.5283,74.24170780181885,3286858
cifar10,contracting,1024,256,64,0.5284,73.88314723968506,3426250
cifar10,contracting,1024,256,128,0.5319,76.2468855381012,3443338
cifar10,contracting,1024,512,64,0.5288,76.02627944946289,3705034
cifar10,contracting,1024,512,128,0.5292,75.5416808128357,3738506
cifar10,contracting,1024,512,256,0.5404,75.34598779678345,3805450
cifar10,constant,64,64,64,0.4951,60.47778677940369,205642
cifar10,constant,128,128,128,0.5148,63.08805966377258,427658
cifar10,constant,256,256,256,0.5317,69.50837326049805,920842
cifar10,constant,512,512,512,0.5357,76.86287045478821,2103818
cifar10,constant,1024,1024,1024,0.5303,78.26097440719604,5256202
